1;5,22,5,10,12,19,23,34,37,55,75;Economía_con_Agropecuario y agrícola
2;2,7,19,26,42,18,23,59,81;Infraestructura_con_Vivienda
3;1,4,28,1,10,11,12,20,21,22,29;Justicia_con_Familia
4;13,66,45;Celebraciones, honores y monumentos_con_----
5;13,66,10,33;Celebraciones, honores y monumentos_con_Desastres y calamidades
6;2,12,19,7,13,16,18,19,24,66;Educación, cultura, ciencia y tecnología_con_Asuntos administrativos
7;5,10,12,19,23,34,37,55,75,5,23,26,41,42;Economía_con_Minas y energía
8;1,4,10,16,18,21,24,35,49,61,19,40,68,71,76;Seguridad Social y salud_con_Derechos Fundamentales
9;1,4,10,16,18,21,24,35,49,61,19,40,68,71,76;Derechos Fundamentales_con_Seguridad Social y salud
10;5,10,12,19,23,34,37,55,75,26,41;Medio Ambiente_con_Economía
11;1,18,21,30,43,13,16;Recreación y deporte_con_Mujer
12;2,12,19,10,15,29,32,33,53,70;Seguridad, defensa y fuerza pública_con_Asuntos administrativos
13;1,10,11,12,20,21,22,29,10,15,29,32,33,53,70;Justicia_con_Seguridad, defensa y fuerza pública
14;2,12,19,13,23,34,39,42;Comercio, industria y turismo_con_Asuntos administrativos
15;5,22,1,10,11,12,20,21,22,29;Justicia_con_Agropecuario y agrícola
16;2,12,19,22,26,2,12,19;Administración pública_con_Asuntos administrativos
17;2,12,19,22,26,11,12,15,23,25,29,32,74;Corrupción_con_Administración pública
18;5,10,12,19,23,34,37,55,75,5,23,26,41,42;Minas y energía_con_Economía
19;2,7,19,26,42,18,19,31,78;Tránsito y transporte_con_Infraestructura
20;5,10,12,19,23,34,37,55,75,10,19,20,31,47,53,58;Economía_con_Ordenamiento Territorial
21;2,12,19,13,16;Recreación y deporte_con_Asuntos administrativos
22;2,12,19,1,4,28;Familia_con_Asuntos administrativos
23;2,12,19,11,16,25,46,48;Notariado y registro_con_Asuntos administrativos
24;5,22,2,12,19;Agropecuario y agrícola_con_Asuntos administrativos
