1;Aborto
2;Acueducto y alcantarillado
3;Afinidad política
4;Afrocolombianos
5;Agropecuario y agrícola
6;Clientelismo
7;Comunicaciones, medios y tecnologías de la información
8;Conciliación
9;Confianza
10;Conflicto armado
11;Congreso
12;Corrupción
13;Cultura
14;Datos personales
15;Delicuencia
16;Democracia
17;Deporte
18;Derechos
19;Desarrollo
20;Desmovilización
21;Discriminación
22;Drogas
23;Economía
24;Educación
25;Elecciones
26;Energía eléctrica
27;Ética
28;Familia
29;Fuerza pública
30;Género
31;Geografía
32;Grupo armado
33;Guerra
34;Impuestos
35;Indígenas
36;Influencia
37;Ingresos
38;Judicial
39;Laboral
40;Líderes sociales
41;Medio ambiente
42;Minería
43;Minoría sexual
44;Mujer
45;N/A
46;Notariado y registro
47;Ordenamiento Territorial y regiones
48;Organismos de Control y Ministerio público
49;Participación ciudadana
50;Participación electoral
51;Partidos políticos
52;Patria
53;Paz
54;Pensión
55;Pobreza
56;Política
57;Principal problema
58;Proceso de paz
59;Propiedad privada
60;Protesta
61;Racismo
62;Rama Ejecutiva
63;Rama Judicial
64;Rama Legislativa
65;Relaciones internacionales
66;Religión
67;Representación ciudadana
68;Salud
69;Salud mental
70;Seguridad
71;Seguridad social
72;Servicios públicos
73;Sindicatos
74;Soborno
75;Socioeconomía
76;Subsidio
77;Terrorismo
78;Tránsito y transporte
79;Víctimas
80;Violencia
81;Vivienda
82;Votación
