null;null;Calle 73 # Diag. 26 M-90 B/Marroquín II;
Distrito Cuatro los Mangos;null;null;
null;Estación Mangos;null;
null;null;Calle 112 con carrera 26;
Distrito Cuatro los Mangos;null;null;
null;Estación Mangos;null;
null;null;Calle 103 con carrerera 28A;
Distrito Cuatro los Mangos;null;null;
null;Estación Mangos;null;
null;null;Carrera 26C con calle 84;
Distrito Cuatro los Mangos;null;null;
null;Estación Vallado;null;
null;null;Carrera 41B # 50-02;
Distrito Cuatro los Mangos;null;null;
null;Estación Vallado;null;
null;null;Calle 83 con Carrera 28D4;
null;null;Carrera 48 # 45-03;
Distrito Cuatro los Mangos;null;null;
null;Estación Mariano Ramos;null;
null;null;Carrera 48 # 45-03;
Distrito Cuatro los Mangos;Estación Desepaz;Calle 121 # 25-00;
Distrito Cuatro los Mangos;Estación Desepaz;Calle 123 Con caarrera 28D2 B/ Potrero Grande;
Distrito Cuatro los Mangos;Estación Desepaz;Calle 123 con carrera 28F B/ Pizamos;
Distrito Cinco Yumbo;Estación Yumbo;Calle 4 # 5-35 B/Belalcazar;
Distrito Cinco Yumbo;Subestación Dapa;Vereda miravalle KM 9 Via Dapa;
Distrito Cinco Yumbo;Subestación Dapa;Cslle 10 con carrera 40 Acopi-Yumbo;
Distrito Cinco Yumbo;Subestación Dapa;Calle 10 con carrera 18 B/Las Americas;
Distrito Cinco Yumbo;Subestación Dapa;Calle 18 con carrera 13A B/La Estancia;
Distrito Cinco Yumbo;Subestación Dapa;Calle 5AN # 10AN-09 B/Pizarro;
Distrito Cinco Yumbo;Subestación Dapa;KM. 6 VIA Yumbo - Vijes;
Distrito Cinco Yumbo;Estación Vijes;Carrera 5 # 5- 23 B/Centro;
Distrito Cinco Yumbo;Estación La Cumbre;Carrera 5 # 2 -10;
Distrito Cinco Yumbo;Estación La Cumbre;Subestación Pavas;Carrera 8 con calle 4 esquina
Distrito Seis Jamundí;Estación Jamundí;Carrera 10 # 17-02;
Distrito Seis Jamundí;Estación La María;Carrera 125 # 24-00;
Distrito Seis Jamundí;Subestación Hormiguero;Calle principal casa 256;
Distrito Seis Jamundí;Subestación La Vorágine;Vía Principal;
Distrito Siete Candelaria;Estación Candelaria;Carrera 6 # 8-50;
Distrito Siete Candelaria;Subestación Cabuyal;Carrera 6 # 5-16;
Distrito Siete Candelaria;Subestación Carmelo;Calle 14 # 10-09 B/Oaisis;
Distrito Siete Candelaria;Subestación San Joaquín;Carrera 5C con calle 7;
Distrito Siete Candelaria;Subestación Villa Gorgona;Carrera 11 # 12-28;
Distrito Siete Candelaria;Subestación Juanchito;Carrera 8º # 93-58;
Distrito Siete Candelaria;Subestación Radio Faro;Callejon Pio Pio;
